"year","city","country","avg_temp","global_year","global_avg_temp"
1750,"London","United Kingdom","10.25",1750,"8.72"
1751,"London","United Kingdom","9.99",1751,"7.98"
1752,"London","United Kingdom","6.54",1752,"5.78"
1753,"London","United Kingdom","9.42",1753,"8.39"
1754,"London","United Kingdom","9.2",1754,"8.47"
1755,"London","United Kingdom","8.95",1755,"8.36"
1756,"London","United Kingdom","9.42",1756,"8.85"
1757,"London","United Kingdom","9.34",1757,"9.02"
1758,"London","United Kingdom","8.85",1758,"6.74"
1759,"London","United Kingdom","9.8",1759,"7.99"
1760,"London","United Kingdom","9.26",1760,"7.19"
1761,"London","United Kingdom","9.69",1761,"8.77"
1762,"London","United Kingdom","8.99",1762,"8.61"
1763,"London","United Kingdom","8.75",1763,"7.5"
1764,"London","United Kingdom","9.14",1764,"8.4"
1765,"London","United Kingdom","8.95",1765,"8.25"
1766,"London","United Kingdom","9.07",1766,"8.41"
1767,"London","United Kingdom","8.98",1767,"8.22"
1768,"London","United Kingdom","9.12",1768,"6.78"
1769,"London","United Kingdom","9.04",1769,"7.69"
1770,"London","United Kingdom","9.03",1770,"7.69"
1771,"London","United Kingdom","8.78",1771,"7.85"
1772,"London","United Kingdom","9.36",1772,"8.19"
1773,"London","United Kingdom","9.33",1773,"8.22"
1774,"London","United Kingdom","9.1",1774,"8.77"
1775,"London","United Kingdom","10.1",1775,"9.18"
1776,"London","United Kingdom","9.21",1776,"8.3"
1777,"London","United Kingdom","9.25",1777,"8.26"
1778,"London","United Kingdom","9.8",1778,"8.54"
1779,"London","United Kingdom","10.76",1779,"8.98"
1780,"London","United Kingdom","9.67",1780,"9.43"
1781,"London","United Kingdom","10.41",1781,"8.1"
1782,"London","United Kingdom","8.44",1782,"7.9"
1783,"London","United Kingdom","9.97",1783,"7.68"
1784,"London","United Kingdom","8.29",1784,"7.86"
1785,"London","United Kingdom","8.54",1785,"7.36"
1786,"London","United Kingdom","8.35",1786,"8.26"
1787,"London","United Kingdom","9.53",1787,"8.03"
1788,"London","United Kingdom","9.39",1788,"8.45"
1789,"London","United Kingdom","9.12",1789,"8.33"
1790,"London","United Kingdom","9.67",1790,"7.98"
1791,"London","United Kingdom","9.59",1791,"8.23"
1792,"London","United Kingdom","9.56",1792,"8.09"
1793,"London","United Kingdom","9.59",1793,"8.23"
1794,"London","United Kingdom","10",1794,"8.53"
1795,"London","United Kingdom","9.19",1795,"8.35"
1796,"London","United Kingdom","9.5",1796,"8.27"
1797,"London","United Kingdom","9.62",1797,"8.51"
1798,"London","United Kingdom","9.83",1798,"8.67"
1799,"London","United Kingdom","7.94",1799,"8.51"
1800,"London","United Kingdom","9.32",1800,"8.48"
1801,"London","United Kingdom","9.68",1801,"8.59"
1802,"London","United Kingdom","9.31",1802,"8.58"
1803,"London","United Kingdom","8.79",1803,"8.5"
1804,"London","United Kingdom","9.37",1804,"8.84"
1805,"London","United Kingdom","8.56",1805,"8.56"
1806,"London","United Kingdom","9.87",1806,"8.43"
1807,"London","United Kingdom","9.03",1807,"8.28"
1808,"London","United Kingdom","8.91",1808,"7.63"
1809,"London","United Kingdom","8.99",1809,"7.08"
1810,"London","United Kingdom","8.97",1810,"6.92"
1811,"London","United Kingdom","10.1",1811,"6.86"
1812,"London","United Kingdom","8.58",1812,"7.05"
1813,"London","United Kingdom","9.13",1813,"7.74"
1814,"London","United Kingdom","7.93",1814,"7.59"
1815,"London","United Kingdom","8.99",1815,"7.24"
1816,"London","United Kingdom","7.98",1816,"6.94"
1817,"London","United Kingdom","8.95",1817,"6.98"
1818,"London","United Kingdom","9.88",1818,"7.83"
1819,"London","United Kingdom","9.58",1819,"7.37"
1820,"London","United Kingdom","8.61",1820,"7.62"
1821,"London","United Kingdom","9.63",1821,"8.09"
1822,"London","United Kingdom","10.36",1822,"8.19"
1823,"London","United Kingdom","8.8",1823,"7.72"
1824,"London","United Kingdom","9.65",1824,"8.55"
1825,"London","United Kingdom","9.98",1825,"8.39"
1826,"London","United Kingdom","10.12",1826,"8.36"
1827,"London","United Kingdom","9.37",1827,"8.81"
1828,"London","United Kingdom","10.1",1828,"8.17"
1829,"London","United Kingdom","7.95",1829,"7.94"
1830,"London","United Kingdom","8.78",1830,"8.52"
1831,"London","United Kingdom","10.01",1831,"7.64"
1832,"London","United Kingdom","9.24",1832,"7.45"
1833,"London","United Kingdom","9.4",1833,"8.01"
1834,"London","United Kingdom","10.59",1834,"8.15"
1835,"London","United Kingdom","9.48",1835,"7.39"
1836,"London","United Kingdom","9.04",1836,"7.7"
1837,"London","United Kingdom","8.85",1837,"7.38"
1838,"London","United Kingdom","8.05",1838,"7.51"
1839,"London","United Kingdom","8.89",1839,"7.63"
1840,"London","United Kingdom","8.68",1840,"7.8"
1841,"London","United Kingdom","9.12",1841,"7.69"
1842,"London","United Kingdom","9.43",1842,"8.02"
1843,"London","United Kingdom","9.4",1843,"8.17"
1844,"London","United Kingdom","8.85",1844,"7.65"
1845,"London","United Kingdom","8.46",1845,"7.85"
1846,"London","United Kingdom","10.48",1846,"8.55"
1847,"London","United Kingdom","9.24",1847,"8.09"
1848,"London","United Kingdom","9.52",1848,"7.98"
1849,"London","United Kingdom","9.42",1849,"7.98"
1850,"London","United Kingdom","9.06",1850,"7.9"
1851,"London","United Kingdom","9.17",1851,"8.18"
1852,"London","United Kingdom","9.96",1852,"8.1"
1853,"London","United Kingdom","8.44",1853,"8.04"
1854,"London","United Kingdom","9.3",1854,"8.21"
1855,"London","United Kingdom","8.03",1855,"8.11"
1856,"London","United Kingdom","9.17",1856,"8"
1857,"London","United Kingdom","10.21",1857,"7.76"
1858,"London","United Kingdom","9.2",1858,"8.1"
1859,"London","United Kingdom","9.97",1859,"8.25"
1860,"London","United Kingdom","8.17",1860,"7.96"
1861,"London","United Kingdom","9.42",1861,"7.85"
1862,"London","United Kingdom","9.56",1862,"7.56"
1863,"London","United Kingdom","9.9",1863,"8.11"
1864,"London","United Kingdom","8.74",1864,"7.98"
1865,"London","United Kingdom","9.82",1865,"8.18"
1866,"London","United Kingdom","9.69",1866,"8.29"
1867,"London","United Kingdom","9.06",1867,"8.44"
1868,"London","United Kingdom","10.5",1868,"8.25"
1869,"London","United Kingdom","9.46",1869,"8.43"
1870,"London","United Kingdom","8.94",1870,"8.2"
1871,"London","United Kingdom","8.97",1871,"8.12"
1872,"London","United Kingdom","10.07",1872,"8.19"
1873,"London","United Kingdom","9.26",1873,"8.35"
1874,"London","United Kingdom","9.37",1874,"8.43"
1875,"London","United Kingdom","9.43",1875,"7.86"
1876,"London","United Kingdom","9.75",1876,"8.08"
1877,"London","United Kingdom","9.43",1877,"8.54"
1878,"London","United Kingdom","9.47",1878,"8.83"
1879,"London","United Kingdom","7.62",1879,"8.17"
1880,"London","United Kingdom","9.35",1880,"8.12"
1881,"London","United Kingdom","8.71",1881,"8.27"
1882,"London","United Kingdom","9.43",1882,"8.13"
1883,"London","United Kingdom","9.21",1883,"7.98"
1884,"London","United Kingdom","9.86",1884,"7.77"
1885,"London","United Kingdom","8.68",1885,"7.92"
1886,"London","United Kingdom","8.8",1886,"7.95"
1887,"London","United Kingdom","8.39",1887,"7.91"
1888,"London","United Kingdom","8.31",1888,"8.09"
1889,"London","United Kingdom","8.91",1889,"8.32"
1890,"London","United Kingdom","8.86",1890,"7.97"
1891,"London","United Kingdom","8.65",1891,"8.02"
1892,"London","United Kingdom","8.35",1892,"8.07"
1893,"London","United Kingdom","10.05",1893,"8.06"
1894,"London","United Kingdom","9.42",1894,"8.16"
1895,"London","United Kingdom","8.91",1895,"8.15"
1896,"London","United Kingdom","9.41",1896,"8.21"
1897,"London","United Kingdom","9.5",1897,"8.29"
1898,"London","United Kingdom","10.08",1898,"8.18"
1899,"London","United Kingdom","9.85",1899,"8.4"
1900,"London","United Kingdom","9.73",1900,"8.5"
1901,"London","United Kingdom","9.2",1901,"8.54"
1902,"London","United Kingdom","8.95",1902,"8.3"
1903,"London","United Kingdom","9.45",1903,"8.22"
1904,"London","United Kingdom","9.18",1904,"8.09"
1905,"London","United Kingdom","9.25",1905,"8.23"
1906,"London","United Kingdom","9.62",1906,"8.38"
1907,"London","United Kingdom","9.03",1907,"7.95"
1908,"London","United Kingdom","9.31",1908,"8.19"
1909,"London","United Kingdom","8.7",1909,"8.18"
1910,"London","United Kingdom","9.39",1910,"8.22"
1911,"London","United Kingdom","10.22",1911,"8.18"
1912,"London","United Kingdom","9.57",1912,"8.17"
1913,"London","United Kingdom","9.89",1913,"8.3"
1914,"London","United Kingdom","9.98",1914,"8.59"
1915,"London","United Kingdom","9.07",1915,"8.59"
1916,"London","United Kingdom","9.28",1916,"8.23"
1917,"London","United Kingdom","8.65",1917,"8.02"
1918,"London","United Kingdom","9.6",1918,"8.13"
1919,"London","United Kingdom","8.48",1919,"8.38"
1920,"London","United Kingdom","9.67",1920,"8.36"
1921,"London","United Kingdom","10.6",1921,"8.57"
1922,"London","United Kingdom","8.81",1922,"8.41"
1923,"London","United Kingdom","9.17",1923,"8.42"
1924,"London","United Kingdom","9.34",1924,"8.51"
1925,"London","United Kingdom","9.31",1925,"8.53"
1926,"London","United Kingdom","9.83",1926,"8.73"
1927,"London","United Kingdom","9.25",1927,"8.52"
1928,"London","United Kingdom","9.69",1928,"8.63"
1929,"London","United Kingdom","9.09",1929,"8.24"
1930,"London","United Kingdom","9.7",1930,"8.63"
1931,"London","United Kingdom","9.12",1931,"8.72"
1932,"London","United Kingdom","9.57",1932,"8.71"
1933,"London","United Kingdom","9.96",1933,"8.34"
1934,"London","United Kingdom","10.11",1934,"8.63"
1935,"London","United Kingdom","9.9",1935,"8.52"
1936,"London","United Kingdom","9.43",1936,"8.55"
1937,"London","United Kingdom","9.69",1937,"8.7"
1938,"London","United Kingdom","10.18",1938,"8.86"
1939,"London","United Kingdom","9.77",1939,"8.76"
1940,"London","United Kingdom","9.06",1940,"8.76"
1941,"London","United Kingdom","9.09",1941,"8.77"
1942,"London","United Kingdom","9.1",1942,"8.73"
1943,"London","United Kingdom","10.19",1943,"8.76"
1944,"London","United Kingdom","9.62",1944,"8.85"
1945,"London","United Kingdom","10.39",1945,"8.58"
1946,"London","United Kingdom","9.58",1946,"8.68"
1947,"London","United Kingdom","9.75",1947,"8.8"
1948,"London","United Kingdom","10.16",1948,"8.75"
1949,"London","United Kingdom","10.63",1949,"8.59"
1950,"London","United Kingdom","9.75",1950,"8.37"
1951,"London","United Kingdom","9.52",1951,"8.63"
1952,"London","United Kingdom","9.35",1952,"8.64"
1953,"London","United Kingdom","9.95",1953,"8.87"
1954,"London","United Kingdom","9.35",1954,"8.56"
1955,"London","United Kingdom","9.39",1955,"8.63"
1956,"London","United Kingdom","8.87",1956,"8.28"
1957,"London","United Kingdom","10.26",1957,"8.73"
1958,"London","United Kingdom","9.66",1958,"8.77"
1959,"London","United Kingdom","10.63",1959,"8.73"
1960,"London","United Kingdom","9.88",1960,"8.58"
1961,"London","United Kingdom","10.2",1961,"8.8"
1962,"London","United Kingdom","8.65",1962,"8.75"
1963,"London","United Kingdom","8.48",1963,"8.86"
1964,"London","United Kingdom","9.53",1964,"8.41"
1965,"London","United Kingdom","9.03",1965,"8.53"
1966,"London","United Kingdom","9.59",1966,"8.6"
1967,"London","United Kingdom","9.81",1967,"8.7"
1968,"London","United Kingdom","9.48",1968,"8.52"
1969,"London","United Kingdom","9.47",1969,"8.6"
1970,"London","United Kingdom","9.69",1970,"8.7"
1971,"London","United Kingdom","9.89",1971,"8.6"
1972,"London","United Kingdom","9.41",1972,"8.5"
1973,"London","United Kingdom","9.75",1973,"8.95"
1974,"London","United Kingdom","9.7",1974,"8.47"
1975,"London","United Kingdom","9.99",1975,"8.74"
1976,"London","United Kingdom","10.28",1976,"8.35"
1977,"London","United Kingdom","9.69",1977,"8.85"
1978,"London","United Kingdom","9.41",1978,"8.69"
1979,"London","United Kingdom","9.06",1979,"8.73"
1980,"London","United Kingdom","9.54",1980,"8.98"
1981,"London","United Kingdom","9.38",1981,"9.17"
1982,"London","United Kingdom","10.07",1982,"8.64"
1983,"London","United Kingdom","10.12",1983,"9.03"
1984,"London","United Kingdom","9.75",1984,"8.69"
1985,"London","United Kingdom","9",1985,"8.66"
1986,"London","United Kingdom","8.94",1986,"8.83"
1987,"London","United Kingdom","9.22",1987,"8.99"
1988,"London","United Kingdom","9.82",1988,"9.2"
1989,"London","United Kingdom","10.76",1989,"8.92"
1990,"London","United Kingdom","10.94",1990,"9.23"
1991,"London","United Kingdom","9.67",1991,"9.18"
1992,"London","United Kingdom","10.15",1992,"8.84"
1993,"London","United Kingdom","9.69",1993,"8.87"
1994,"London","United Kingdom","10.48",1994,"9.04"
1995,"London","United Kingdom","10.55",1995,"9.35"
1996,"London","United Kingdom","9.27",1996,"9.04"
1997,"London","United Kingdom","10.64",1997,"9.2"
1998,"London","United Kingdom","10.4",1998,"9.52"
1999,"London","United Kingdom","10.86",1999,"9.29"
2000,"London","United Kingdom","10.52",2000,"9.2"
2001,"London","United Kingdom","10.18",2001,"9.41"
2002,"London","United Kingdom","10.91",2002,"9.57"
2003,"London","United Kingdom","10.81",2003,"9.53"
2004,"London","United Kingdom","10.77",2004,"9.32"
2005,"London","United Kingdom","10.63",2005,"9.7"
2006,"London","United Kingdom","11.1",2006,"9.53"
2007,"London","United Kingdom","10.83",2007,"9.73"
2008,"London","United Kingdom","10.38",2008,"9.43"
2009,"London","United Kingdom","10.52",2009,"9.51"
2010,"London","United Kingdom","9.38",2010,"9.7"
2011,"London","United Kingdom","11.19",2011,"9.52"
2012,"London","United Kingdom","10",2012,"9.51"
2013,"London","United Kingdom","9.91",2013,"9.61"
